turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26
MITSUBISHI MWT 92 2.4,0,0,0,0,0,0,780,64720,105090,184890,264470,344050,463060,601450,739830,917650,1090000,1300000,1520000,1780000,1960000,2120000,2240000,2360000,2390000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,0,
MITSUBISHI MWT 95 2.4,0,0,0,0,0,0,780,41920,81140,139780,237330,334810,432280,549180,685490,860720,1030000,1210000,1400000,1600000,1790000,1960000,2120000,2290000,2370000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,0,
NEG MICON NM 44 750,0,0,0,0,0,0,0,0,9110,16890,32340,51600,74660,105380,136090,170600,212770,254920,297080,339250,381390,423560,469540,511690,553850,592180,634350,676510,707210,730290,738100,749710,749890,750070,750230,746580,739140,731680,724210,716760,705480,705650,705810,706000,706180,710160,710340,710520,710680,710850,711030,0,
NEG MICON NM 48 750,0,0,0,0,0,0,0,0,9110,19690,34170,54410,80390,115000,155340,207190,250410,308000,359830,414560,460660,518250,552850,593200,627800,656660,685520,705750,723110,737600,749210,752200,755200,755320,755440,752690,749930,741430,735800,727300,715930,707430,698930,696170,693420,693540,693650,693780,696770,699760,696950,0,
NEG MICON NM 60 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG MICON NM 64C 1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG MICON NM 72C 1500,0,0,0,0,0,0,0,0,0,0,74000,138000,202000,279000,356000,466000,576000,692000,808000,933000,1058000,1171500,1285000,1355500,1426000,1438500,1451000,1467000,1483000,1491500,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,0,
NEG MICON NM 82 1500,0,,0,,0,,0,,69000,,173000,,307000,,510000,,752000,,1001000,,1262000,,1433000,,1490000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,0,,0,,0,,0,,0,,0,,0,,
NEG MICON NM 82 1650,0,0,0,0,0,0,0,0,28000,86000,144000,226500,309000,410000,511000,634500,758000,887500,1017000,1137500,1258000,1381000,1504000,1570500,1637000,1642500,1648000,1649000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,,0,,0,,0,,0,,0,,
NORDEX N 100 2500,0,0,0,0,0,0,0,25000,50000,135500,221000,326000,431000,575500,720000,911000,1102000,1338500,1575000,1797000,2019000,2161500,2304000,2381000,2458000,2479000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
